pixel vinkelx vinkely
0 0.29679461864961199000 0.00032995510689228679
1 0.29641856129248290000 0.00032995510689228679
2 0.29604257893823271000 0.00032995510689228679
3 0.29566667154726034000 0.00032995510689228679
4 0.29529083907996434000 0.00032995510689228679
5 0.29491508149674339000 0.00032995510689228679
6 0.29453939875799628000 0.00032995510689228679
7 0.29416379082412170000 0.00032995510689228679
8 0.29378825765551830000 0.00032995510689228679
9 0.29341279921258479000 0.00032995510689228679
10 0.29303741545571993000 0.00032995510689228679
11 0.29266210634532241000 0.00032995510689228679
12 0.29228687184179081000 0.00032995510689228679
13 0.29191171190552401000 0.00032995510689228679
14 0.29153662649692058000 0.00032995510689228679
15 0.29116161557637932000 0.00032995510689228679
16 0.29078667910429890000 0.00032995510689228679
17 0.29041181704107799000 0.00032995510689228679
18 0.29003702934711528000 0.00032995510689228679
19 0.28966231598280956000 0.00032995510689228679
20 0.28928767690855950000 0.00032995510689228679
21 0.28891311208476378000 0.00032995510689228679
22 0.28853862147182108000 0.00032995510689228679
23 0.28816420503013018000 0.00032995510689228679
24 0.28778986272008966000 0.00032995510689228679
25 0.28741559450209830000 0.00032995510689228679
26 0.28704140033655490000 0.00032995510689228679
27 0.28666728018385801000 0.00032995510689228679
28 0.28629323400440643000 0.00032995510689228679
29 0.28591926175859872000 0.00032995510689228679
30 0.28554536340683379000 0.00032995510689228679
31 0.28517153890951019000 0.00032995510689228679
32 0.28479778822702662000 0.00032995510689228679
33 0.28442411131978196000 0.00032995510689228679
34 0.28405050814817467000 0.00032995510689228679
35 0.28367697867260366000 0.00032995510689228679
36 0.28330352285346749000 0.00032995510689228679
37 0.28293014065116495000 0.00032995510689228679
38 0.28255683202609472000 0.00032995510689228679
39 0.28218359693865536000 0.00032995510689228679
40 0.28181043534924588000 0.00032995510689228679
41 0.28143734721826474000 0.00032995510689228679
42 0.28106433250611074000 0.00032995510689228679
43 0.28069139117318243000 0.00032995510689228679
44 0.28031852317987882000 0.00032995510689228679
45 0.27994572848659827000 0.00032995510689228679
46 0.27957300705373977000 0.00032995510689228679
47 0.27920035884170180000 0.00032995510689228679
48 0.27882778381088325000 0.00032995510689228679
49 0.27845528192168267000 0.00032995510689228679
50 0.27808285313449888000 0.00032995510689228679
51 0.27771049740973053000 0.00032995510689228679
52 0.27733821470777631000 0.00032995510689228679
53 0.27696600498903490000 0.00032995510689228679
54 0.27659386821390508000 0.00032995510689228679
55 0.27622180434278543000 0.00032995510689228679
56 0.27584981333607483000 0.00032995510689228679
57 0.27547789515417187000 0.00032995510689228679
58 0.27510604975747521000 0.00032995510689228679
59 0.27473427710638376000 0.00032995510689228679
60 0.27436257716129597000 0.00032995510689228679
61 0.27399094988261063000 0.00032995510689228679
62 0.27361939523072654000 0.00032995510689228679
63 0.27324791316604224000 0.00032995510689228679
64 0.27287650364895655000 0.00032995510689228679
65 0.27250516663986823000 0.00032995510689228679
66 0.27213390209917587000 0.00032995510689228679
67 0.27176270998727814000 0.00032995510689228679
68 0.27139159026457382000 0.00032995510689228679
69 0.27102054289146160000 0.00032995510689228679
70 0.27064956782834015000 0.00032995510689228679
71 0.27027866503560827000 0.00032995510689228679
72 0.26990783447366451000 0.00032995510689228679
73 0.26953707610290778000 0.00032995510689228679
74 0.26916638988373653000 0.00032995510689228679
75 0.26879577577654967000 0.00032995510689228679
76 0.26842523374174587000 0.00032995510689228679
